,RA,DEC,Z,plateifu,ellip,log_OI_Ha_cen,log_OIII_Hb_cen,log_NII_Ha_cen,log_SII_Ha_cen,log_Mass,gz2_class,r_band_abs_mag,Edge on frac,Face on frac,check,source num
427,121.1763,15.7757,0.029,11744-6103,0.529598736,-1.92666773,-0.499996869,-0.389057869,-0.63246688,10.68,Sb2m,-20.44,0.08,0.93,TRUE,4
234,145.4709,2.9689,0.054,10514-6103,0.616780749,-1.771374448,-0.626554254,-0.372674597,-0.577611088,10.84,Sb?t,-21.17,0,1,TRUE,5
3275,117.9959,21.7088,0.05,9497-3703,0.740251559,-1.936091774,-0.378152726,-0.328351436,-0.493391359,10.81,SBb2l,-21.02,0.35,0.65,TRUE,6
2539,117.5183,34.4793,0.029,8717-3704,0.62708231,-2.449023388,-0.757255469,-0.423121865,-0.672358029,10.8,Sb2t,-20.56,0,1,TRUE,7
1188,206.4707,26.7752,0.03,7495-12703,0.843802396,-1.767024249,-0.626891662,-0.434294443,-0.590897474,10.58,Sc?t,-20.18,0.14,0.86,TRUE,10
1765,197.8258,29.7941,0.024,8321-9102,0.915273497,-1.779254396,-0.323157892,-0.388470552,-0.443234453,10.4,Ser,-19.57,1,0,TRUE,14
1902,141.3442,50.5537,0.025,8439-6103,0.938399235,-1.711242734,-0.405515185,-0.330755538,-0.542190346,10.6,Ser,-20.14,0.85,0.15,TRUE,16
441,129.0139,28.9632,0.052,11747-12702,0.830613408,-1.6506696,-0.579941925,-0.321981332,-0.529445807,10.8,Sc?m,-20.88,0.2,0.8,TRUE,23
1259,42.1984,-0.1092,0.025,8077-3704,0.489828165,-2.038977534,-0.445430159,-0.302996811,-0.471036955,10.36,Ei,-20.13,0,1,TRUE,27
114,121.2301,52.0708,0.07,10493-12701,0.883545146,-2.318026209,-0.347173382,-0.354586072,-0.548198628,11.15,SBc2m,-21.78,0.17,0.83,TRUE,30
585,185.3059,49.4749,0.045,11833-1902,0.317993002,-1.829998204,-0.432799593,-0.339995112,-0.423040259,10.59,Er,-20.7,0,1,TRUE,31
706,253.5481,30.1194,0.062,11951-9102,0.622157793,-2.09760573,-0.410976741,-0.447697537,-0.7370306,11.27,Sc?t,-22.09,0.02,0.98,TRUE,35
776,228.9874,9.1141,0.045,11968-3703,0.433028978,-2.187859744,-0.495540064,-0.290489038,-0.554756888,10.53,Ei,-20.32,0,1,TRUE,37
2568,126.9739,55.1586,0.039,8723-12701,0.837858157,-2.064077562,-0.383955454,-0.348444351,-0.669499855,11.03,SBc?t,-21.13,0,1,TRUE,38
2384,261.4639,60.1941,0.029,8611-3702,0.660738693,-1.803294306,-0.531671101,-0.347745879,-0.42883843,10.77,Ei,-20.8,0.02,0.98,TRUE,42
1714,205.0122,23.143,0.032,8311-3703,0.56346344,-2.312344867,-0.359450043,-0.321202509,-0.599306134,10.91,Sb?t,-21.48,0,1,TRUE,47
478,146.9174,1.6001,0.031,11753-1901,0.567501069,-1.976393458,-0.412316591,-0.408625626,-0.580057027,10.59,Ei,-20.63,0,1,TRUE,48
1714,205.0122,23.143,0.032,8311-3703,0.56346344,-2.312344867,-0.359450043,-0.321202509,-0.599306134,10.91,Sb?t,-21.48,0,1,TRUE,50
1230,264.5225,57.1182,0.03,7990-1902,0.660332911,-2.395241193,-0.49548504,-0.343627985,-0.560871798,10.87,Ei,-20.97,0.29,0.71,TRUE,51
1282,49.0884,0.4795,0.029,8080-3703,0.789853161,-1.988230714,0.251011539,-0.768130297,-0.504320329,10.22,Ei,-20.14,0.07,0.93,TRUE,52
3344,128.9514,25.5753,0.044,9507-3704,0.674027778,-1.969926542,-0.307789517,-0.56889666,-0.406227888,10.31,Ei,-20.26,1,0,TRUE,55
803,251.8902,25.1188,0.057,11975-3704,0.538104928,-2.158946427,-0.098309502,-0.403919987,-0.657553291,10.99,Er,-21.62,0,1,TRUE,58
585,185.3059,49.4749,0.045,11833-1902,0.317993002,-1.829998204,-0.432799593,-0.339995112,-0.423040259,10.59,Er,-20.7,0,1,TRUE,62
128,123.5556,48.1382,0.054,10495-6103,0.551759908,-1.980680627,-0.59782391,-0.403606525,-0.553997855,10.97,Ei,-21.21,0.25,0.75,TRUE,65
156,136.274,32.6224,0.058,10500-12704,0.793000487,-2.258646506,-0.651410468,-0.429082499,-0.583764066,10.94,SBb2m(r),-21.5,0.05,0.95,TRUE,66
1623,163.459,44.3644,0.049,8254-12704,0.777496715,-2.16621187,-0.578301904,-0.432455737,-0.525279549,10.46,SBc?t,-20.61,0,1,TRUE,70
719,190.7206,44.0052,0.032,11953-6101,0.850283231,-1.957970538,-0.488945886,-0.30960992,-0.360024215,10.75,Sb,-20.62,0.29,0.71,TRUE,71
498,248.5603,26.5703,0.066,11757-12703,0.702125171,-1.427450545,-0.426993878,-0.343046345,-0.523022435,11.29,SBb2m,-22.06,0,1,TRUE,73
1038,178.7185,4.27,0.072,12489-9101,0.699801661,-2.07898731,-0.512293862,-0.386875961,-0.557451121,11.39,SBb2m,-22.2,0.05,0.95,TRUE,73
3328,139.236,26.8438,0.045,9505-12705,0.881009271,-1.649482255,-0.42552205,-0.524376146,-0.408497119,10.26,Ec,-19.9,0.22,0.78,TRUE,75
794,239.7255,9.5221,0.04,11974-3704,0.554155992,-2.2714819,-0.658387413,-0.428310846,-0.53222018,10.38,Er,-19.81,0.2,0.8,TRUE,76
796,239.5021,9.5604,0.043,11974-9101,0.633120316,-1.786755896,-0.136263919,-0.708215024,-0.427363407,10.31,Er,-20.01,0,1,TRUE,76
676,252.8174,39.8523,0.034,11945-3702,0.746702775,-1.49371521,-0.291217874,-0.335853155,-0.556581304,10.33,Sb,-19.79,0.05,0.95,TRUE,77
1456,118.5926,27.0088,0.027,8147-12703,0.505925804,-2.145414666,-0.640024902,-0.45507889,-0.642566125,10.56,Sc?t,-20.27,0.02,0.98,TRUE,78
1720,247.2453,41.2553,0.033,8312-3702,0.752783661,-1.71080105,-0.728624259,-0.484595204,-0.774379,10.32,Ei,-19.89,0.2,0.8,TRUE,80
152,131.7876,29.7823,0.049,10499-3702,0.860023753,-2.168566244,-0.618244197,-0.434814498,-0.574488632,10.74,SBc2m,-20.84,0.06,0.94,TRUE,81
140,121.7332,18.2226,0.016,10497-3703,0.485702823,-2.021430417,0.038289917,-0.68265136,-0.456176968,9.46,Er,-17.99,0,1,TRUE,84
3367,127.2022,28.9205,0.03,9510-9102,0.348510168,-1.610057276,-0.507079029,-0.402389955,-0.717384949,10.28,Er,-19.84,0,1,TRUE,86
689,250.2385,32.2889,0.036,11948-1901,0.357826733,-2.112519551,-0.019114807,-0.548462448,-0.519607583,10.06,Er,-19.61,0,1,TRUE,88
1908,136.2003,40.5917,0.027,8440-3703,0.55309077,-2.163000528,-0.50451164,-0.39531711,-0.439635997,10.47,SBb2m,-20.18,0,1,TRUE,89
1443,116.2394,28.9275,0.023,8145-12704,0.361513177,-1.80714987,-0.526339625,-0.436137193,-0.553531303,10.16,Sc?t,-19.33,0,1,TRUE,92
2271,10.2982,15.0527,0.017,8569-12703,0.923474005,-1.901725903,0.013470955,-0.590397316,-0.403424725,9.77,-9999,-18.16,0.9,0.1,TRUE,93
1893,148.017,17.8323,0.05,8438-6102,0.628516812,-1.782565728,-0.350058915,-0.331832596,-0.449824795,10.59,Ei,-20.7,0.12,0.88,TRUE,94
1268,42.3874,-0.7844,0.024,8078-3703,0.423720475,-2.105235364,-0.010070534,-0.708852897,-0.44516389,9.6,Ei,-18.78,0.09,0.91,TRUE,97
177,160.6242,5.0834,0.028,10503-6104,0.483016953,-1.509155482,-0.427743109,-0.409044229,-0.37563695,9.89,Er,-19.09,0,1,TRUE,98
1935,201.4111,33.6804,0.039,8444-12703,0.556556146,-1.787810373,-0.612889411,-0.470027497,-0.730848178,11.02,SBc2m,-21.22,0,1,TRUE,99
